"","Camera","SD_Card","Round","ForestType","Forest","Season","SpecRichness","NumDeer","Inv_simp_div","Shan_div","RoadDensity50","PlotSize50","Aspect50","Slope50","P_Water50","P_Mixed50","P_Deciduous50","P_Forest50","P_Development50","P_Agriculture50","P_Shrub50","P_Wetland50","P_Herb50","PPT_50","Elevation50","Cam_Model","Cam_Orient","ForestShannon","Forest_Density","Forest_Dominance","Sap_Dominance","PPT_100","Slope100","Elevation100","RoadDensity100","PlotSize100","Cam_Orient100","Aspect100","P_Water100","P_Mixed100","P_Deciduos100","P_Forest100","P_Development100","P_Agriculture100","P_Shrub100","P_Heb100"
"31",33,38,4,"Pine","DEG","Fall",12,15,5.013888889,2.037460008,0.247407766,4741317.96,98.1301041,5.051152706,2.329749,1.075269,33.870968,81.362008,0,0,1.971326,14.516129,0.537634,98.40180206,249,"Browning ",235,0.610648081,2238.888889,35.65043782,3577.924967,102.7360001,5.051152706,249,0.233927,4741317.962,235,98.13010406,2.160216,1.980198,25.112511,81.9982,0,0,2.520252,1.080108
"32",37,31,4,"Pine","DEG","Fall",14,12,7.691437803,2.274623123,0,4741317.96,NA,0,1.612903,0,75.448029,82.078853,0,0,0,17.204301,0,98.40180206,249,"Browning ",173,0.610648081,2238.888889,35.65043782,3577.924967,102.7360001,0,249,0,4741317.962,173,NA,0.810081,2.160216,67.866787,85.868587,0,0,0.180018,0
"33",6,2,1,"Deciduous","DON","Winter",NA,NA,NA,NA,0,7261271.09,251.565048,2.263636112,0,1.075269,27.060932,98.387097,0,0,1.612903,0,0,94.0141983,132,"Browning ",304,1.629970763,3633.333333,26.53918644,4450.589593,96.62519836,6.379370213,276,0.670186,5202084.104,80,206.5650482,1.80018,2.970297,68.676868,92.529253,0,0.990099,0,0.990099
"34",14,22,1,"Deciduous","DON","Winter",9,22,2.815745394,1.425733686,0.19934951,5202084.1,325.30484,11.179986,0,11.290323,48.924731,93.010753,0.179211,0,0,7.168459,0,84.79499817,219,"Bushnell HD",7,1.629970763,3633.333333,26.53918644,4450.589593,92.13800049,8.588925362,258,0.046707,9505800.525,215,335.556,0,4.320432,38.073807,88.748874,0.180018,0,1.170117,3.420342
"35",21,21,1,"Deciduous","DON","Winter",6,NA,1.315305762,0.570371424,0,5202084.1,296.565063,3.199601412,0,9.856631,80.286738,98.387097,0,0.896057,0,0,0,92.13800049,257,"Bushnell HD",78,1.629970763,3633.333333,26.53918644,4450.589593,92.95980072,3.035723686,253,0.551039,9505800.525,232,0,0,3.870387,29.522952,89.558956,0,6.660666,3.420342,0
"36",27,8,1,"Deciduous","DON","Winter",8,5,4.313432836,1.727463557,0.054430636,4741317.96,315,1.012750387,1.25448,3.225806,31.72043,86.559139,0,0,0,10.035842,2.150538,94.6989975,256,"Browning ",348,1.629970763,3633.333333,26.53918644,4450.589593,120.1684036,10.82504368,255,0.594524,5615631.565,51,78.69007111,3.240324,1.170117,83.168317,90.9991,0,0,0,0
"37",6,9,2,"Deciduous","DON","Spring",NA,NA,NA,NA,1.025270355,7261271.09,289.798889,18.37304306,0,3.942652,56.272401,83.154121,4.301075,0.896057,0.179211,12.18638,0,91.68359375,111,"Browning ",51,1.629970763,3633.333333,26.53918644,4450.589593,90.55780029,3.64697051,134,0,7261271.087,146,258.6900635,2.070207,1.440144,46.264626,74.167416,0,0,4.950495,1.980198
"38",14,5,2,"Deciduous","DON","Spring",5,2,1.95202952,1.003165921,1.610240456,4741317.96,225,1.012750387,0,0.537634,24.551971,86.021505,0,0,8.064516,3.584229,1.971326,96.62519836,254,"Bushnell HD",334,1.629970763,3633.333333,26.53918644,4450.589593,94.0141983,8.984876633,126,0.102861,6371882.833,222,288.4349365,0.630063,1.080108,67.866787,76.777678,0.270027,0,0,0.810081
"39",21,1,2,"Deciduous","DON","Spring",3,8,1.350337584,0.475033902,0,7261271.09,265.601288,9.256682396,16.129032,0,57.885305,71.505377,0,0,3.046595,10.035842,0,120.1684036,122,"Bushnell HD",30,1.629970763,3633.333333,26.53918644,4450.589593,104.4089966,9.256682396,270,0.606199,5615631.565,244,237.5288086,0.810081,1.620162,94.779478,99.009901,0,0,0,0
"40",27,3,2,"Deciduous","DON","Spring",3,4,2.181818182,0.887694276,0,4741317.96,108.434952,2.263636112,0,5.017921,35.483871,52.688172,0,0,0,47.491039,0,94.88400269,246,"Browning ",200,1.629970763,3633.333333,26.53918644,4450.589593,91.68359375,18.54197884,156,0.448026,6371882.833,234,153.4349518,0,0,54.275428,54.275428,1.980198,10.171017,9.540954,0.090009
"41",1,12,3,"Deciduous","DON","Summer",NA,NA,NA,NA,0.820084703,5202084.1,206.565048,6.379370213,1.792115,1.971326,58.602151,91.218638,0,0,0,7.168459,0,104.4089966,276,"Bushnell HD",80,1.629970763,3633.333333,26.53918644,4450.589593,99.28639984,11.179986,219,0.782655,5202084.104,7,325.3048401,0,8.10081,56.075608,90.369037,3.690369,0,0,0
"42",6,41,3,"Deciduous","DON","Summer",8,37,2.645256335,1.30550995,0.44764805,5615631.56,124.380348,16.05431557,0,2.867384,91.397849,97.491039,0,0,0,2.329749,0,97.68659973,257,"Browning ",331,1.629970763,3633.333333,26.53918644,4450.589593,104.4089966,11.69020844,227,0,5615631.565,278,295.0169067,0,0.630063,95.769577,98.559856,0,0,0,0
"43",7,9,3,"Deciduous","DON","Summer",1,NA,1,0,0,4741317.96,NA,0,0.179211,0,17.204301,85.663082,0,0,0,13.261649,1.433692,87.71920013,250,"Browning ",18,1.629970763,3633.333333,26.53918644,4450.589593,83.87879944,4.520227432,222,0,9505800.525,224,341.5651,1.080108,10.441044,31.50315,84.878487,0,2.340234,0,0
"44",33,23,3,"Deciduous","DON","Summer",9,14,3.18877551,1.469562287,0.599027752,5202084.1,206.565048,3.199601412,1.075269,2.688172,60.573477,77.240144,4.121864,0,8.243728,6.451613,3.405018,99.76599884,200,"Browning ",21,1.629970763,3633.333333,26.53918644,4450.589593,123.1381989,1.012750387,256,0.249187,4741317.962,348,315,2.610261,2.430243,35.643564,85.778577,0,0,0.810081,1.080108
"45",10,35,4,"Deciduous","DON","Fall",6,2,1.453313804,0.733151618,0.676785306,9505800.53,315,1.012750387,0,2.329749,29.21147,89.247312,0,4.83871,6.451613,0,0,119.0617981,263,"Bushnell HD",178,1.629970763,3633.333333,26.53918644,4450.589593,94.6989975,3.199601412,147,0,6371882.833,199,296.5650635,4.140414,0,83.438344,83.438344,0,0,3.330333,0
"46",14,25,4,"Deciduous","DON","Fall",5,2,4.571428571,1.559581156,1.053959516,5615631.56,108.434952,8.984876633,1.075269,2.867384,84.946237,87.813621,0,0,0,10.035842,0,95.92179871,279,"Browning ",196,1.629970763,3633.333333,26.53918644,4450.589593,119.0617981,6.137379646,273,0.804834,5202084.104,51,305.5376892,0,3.960396,76.417642,94.059406,0,0.450045,0,0.360036
"47",21,40,4,"Deciduous","DON","Fall",9,NA,4.651162791,1.860534377,0.763104644,9505800.53,258.690063,3.64697051,0,12.724014,63.978495,98.924731,0,0,0,0,0,98.8789978,250,"Bushnell HD",185,1.629970763,3633.333333,26.53918644,4450.589593,99.76599884,0,196,0.357784,5202084.104,17,NA,0,0,41.944194,50.765076,0.090009,14.311431,28.892889,0
"48",30,17,4,"Deciduous","DON","Fall",4,9,1.565217391,0.693881307,0.820708428,4741317.96,302.471191,9.256682396,0,1.433692,15.232975,95.519714,0,0,0,1.792115,3.225806,98.40180206,260,"Bushnell HD",30,1.629970763,3633.333333,26.53918644,4450.589593,87.71920013,0,237,0.212374,9505800.525,70,NA,0,15.751575,38.613861,86.40864,0,0,2.070207,0.630063
"49",3,5,1,"Deciduous","SH","Winter",3,1,2.272727273,0.950270539,0.727051544,9505800.53,NA,0,0,10.215054,7.706093,69.892473,0,27.319355,0,1.433692,1.971326,98.48180389,235,"Bushnell HD",328,1.708079694,7550,24.73308483,32724.92347,102.7360001,10.82504368,266,0,4741317.962,352,78.69007111,0,2.430243,88.388839,95.769577,0,0,0,0
"50",10,10,1,"Deciduous","SH","Winter",NA,NA,NA,NA,0.456875405,5615631.56,154.983109,22.48092842,0,4.121864,92.65233,99.283155,0,0,0,1.25448,0,95.92179871,270,"Bushnell HD",271,1.708079694,7550,24.73308483,32724.92347,91.81259918,9.256682396,122,0.261651,7261271.087,30,265.6012878,9.0009,0,50.405041,69.216922,0.630063,0.540054,5.130513,2.430243
"51",23,3,1,"Deciduous","SH","Winter",8,20,3.112840467,1.460800689,0,6371882.83,288.434937,8.984876633,1.25448,2.150538,58.960573,76.702509,0,0,0,22.580645,0,92.54319763,126,"Bushnell HD",222,1.708079694,7550,24.73308483,32724.92347,92.54319763,8.646670341,251,0,5615631.565,200,189.462326,2.250225,0.720072,88.838884,93.969397,0,0,0,0
"52",25,9,1,"Deciduous","SH","Winter",9,7,6.222222222,1.978809032,0,6371882.83,231.340195,9.094640732,0,0,73.835125,74.372759,0,0,0.896057,23.11828,1.971326,92.54319763,113,"Browning ",13,1.708079694,7550,24.73308483,32724.92347,97.68659973,22.48092842,270,0.542422,5615631.565,271,154.9831085,0.810081,2.070207,93.69937,97.029703,0,0,0,0
"53",3,7,2,"Deciduous","SH","Spring",4,28,1.938461538,0.855172746,0,6371882.83,166.429565,20.45103073,1.612903,0,81.003584,81.003584,0,0,0,18.100358,0,88.53279877,145,"Bushnell HD",306,1.708079694,7550,24.73308483,32724.92347,96.40039825,1.012750387,263,0.604183,9505800.525,178,315,0,6.570657,30.513051,96.849685,0.630063,0,2.070207,0
"54",10,25,2,"Deciduous","SH","Spring",3,3,1.030500585,0.086228631,2.441356311,4741317.96,NA,0,0,0,1.075269,85.842294,1.792115,0,0,7.526882,5.555556,96.62519836,251,"Browning ",12,1.708079694,7550,24.73308483,32724.92347,88.53279877,20.45103073,145,0,6371882.833,306,166.4295654,1.980198,0,82.358236,82.358236,0,0.090009,0,1.260126
"55",23,16,2,"Deciduous","SH","Spring",9,8,4.142857143,1.7226575,0,9505800.53,225,1.012750387,0,13.620072,31.003584,75.985663,0,0,0.537634,23.11828,0,97.57499695,231,"Bushnell HD",121,1.708079694,7550,24.73308483,32724.92347,96.86520386,3.199601412,262,1.365891,4741317.962,354,296.5650635,0.630063,0.810081,27.90279,86.408641,1.350135,0,2.070207,4.230423
"56",25,6,2,"Deciduous","SH","Spring",3,7,1.588235294,0.683738906,0,7261271.09,225,1.012750387,0,1.075269,28.136201,99.283155,0,0,1.612903,0,0,120.1684036,132,"Browning ",280,1.708079694,7550,24.73308483,32724.92347,98.40180206,1.012750387,254,1.337998,4741317.962,334,225,0.630063,1.350135,25.20252,87.308731,0.180018,0,4.140414,1.440144
"57",3,5,3,"Deciduous","SH","Summer",4,1,2.057142857,0.983087759,0,7261271.09,258.690063,3.64697051,4.121864,1.612903,49.283154,81.72043,0,0,3.584229,8.064516,2.508961,91.68359375,134,"Bushnell HD",146,1.708079694,7550,24.73308483,32724.92347,97.68659973,8.984876633,279,0.756377,5615631.565,196,108.4349518,4.320432,2.070207,85.688569,87.758776,0,0,0.810081,0
"58",10,1,3,"Deciduous","SH","Summer",NA,NA,NA,NA,0.520525552,9505800.53,0,3.035723686,0,5.197133,20.430108,95.340503,0,0,3.584229,0,0,119.0617981,253,"Bushnell HD",232,1.708079694,7550,24.73308483,32724.92347,92.95980072,2.8624053,238,0.418124,9505800.525,356,270,0,11.071107,23.40234,86.588659,0,3.060306,0.540054,0.990099
"59",23,32,3,"Deciduous","SH","Summer",14,10,6.470137825,2.191575587,0,6371882.83,153.434952,18.54197884,0,0,49.641577,49.641577,0,4.659498,18.996416,25.985663,0,92.54319763,156,"Bushnell HD",234,1.708079694,7550,24.73308483,32724.92347,94.6006012,6.379370213,99,0.630696,7261271.087,206,333.4349365,0.090009,1.980198,64.536454,78.847885,2.610261,0,0.090009,0
"60",25,38,3,"Deciduous","SH","Summer",5,NA,4.454545455,1.549826046,0,7261271.09,278.130096,5.051152706,2.150538,0,80.107527,94.802868,0,0,3.584229,0,0,120.1684036,102,"Browning ",233,1.708079694,7550,24.73308483,32724.92347,85.30079651,5.051152706,102,0.335006,7261271.087,233,278.1300964,1.980198,0.090009,67.776778,88.838884,0.810081,0.630063,3.780378,0
"61",2,7,4,"Deciduous","SH","Fall",4,NA,3.769230769,1.351783994,0,5615631.56,189.462326,8.646670341,3.942652,0.716846,86.55914,93.90681,0,0,0,2.867384,0,97.68659973,251,"Bushnell HD",200,1.708079694,7550,24.73308483,32724.92347,98.40180206,0,250,0.998469,4741317.962,218,NA,0.450045,1.170117,28.442844,83.168317,0,0,4.140414,0
"62",15,6,4,"Deciduous","SH","Fall",12,141,2.159942878,1.178619909,0,9505800.53,270,2.8624053,0,11.648746,22.759857,91.756273,0,0,1.075269,7.168459,0,119.0617981,238,"Browning ",356,1.708079694,7550,24.73308483,32724.92347,96.62519836,1.012750387,199,1.088857,5202084.104,58,315,0,0.90009,56.975698,77.767777,3.420342,0,10.261026,0
"63",23,24,4,"Deciduous","SH","Fall",10,2,2.634206624,1.353455394,1.280475657,5202084.1,131.185928,14.88256741,0,5.376344,66.308244,93.010753,5.734767,0,0,1.075269,0,97.375,227,"Bushnell HD",168,1.708079694,7550,24.73308483,32724.92347,96.62519836,14.30291462,210,0,5202084.104,138,258.6900635,0.540054,5.220522,56.705671,88.928893,0,0,5.130513,2.880288
"64",28,1,4,"Deciduous","SH","Fall",17,15,2.43980198,1.529241394,0.723268761,9505800.53,0,2.8624053,0,2.688172,38.351254,68.279569,1.075269,4.659498,1.612903,24.910394,0,98.3769989,210,"Browning ",180,1.708079694,7550,24.73308483,32724.92347,99.28639984,3.199601412,206,1.159804,5202084.104,16,26.56505013,0,4.770477,65.256526,92.709271,4.950495,0,0,0
"65",4,26,1,"Pine","WF","Winter",6,5,3.95890411,1.5335908,0,5202084.1,45,2.02486825,0,14.695341,34.767025,94.623656,0,0,0,5.376344,0,104.4089966,220,"Bushnell HD",92,1.200636272,9933.333333,32.48932693,48171.08736,85.59600067,2.8624053,130,0,7261271.087,46,90,0.990099,2.790279,38.613861,88.838883,0,0,2.520252,0
"66",9,25,1,"Pine","WF","Winter",2,1,2,0.693147181,0.939955613,5202084.1,6.34019089,6.457954884,0,7.706093,48.566308,93.727598,0,0.716846,2.508961,0,3.405018,85.59600067,255,"Bushnell HD",81,1.200636272,9933.333333,32.48932693,48171.08736,94.92060089,8.111279488,127,0,7261271.087,142,15.25511837,1.890189,1.080108,47.524752,94.239423,0,1.980198,0.810081,0
"67",22,18,1,"Pine","WF","Winter",7,97,1.554951943,0.817427709,0,5615631.56,300.963745,16.25391769,0,1.25448,98.207885,100.716845,0,0,0,0,0,92.95980072,231,"Bushnell HD",63,1.200636272,9933.333333,32.48932693,48171.08736,97.375,5.710593224,305,0.631112,9505800.525,358,0,3.77697842,2.607914,80.935252,86.241008,0,0,1.798561,0
"68",33,1,1,"Pine","WF","Winter",6,47,1.84417285,1.002204018,0,5615631.56,349.69516,15.61612988,3.942652,0,93.727599,94.265233,0,0,0,1.792114,0,99.28639984,195,"Browning ",185,1.200636272,9933.333333,32.48932693,48171.08736,96.86520386,1.012750387,251,0.471178,4741317.962,0,315,5.940594,0.990099,24.662466,81.188119,0,0,0.810081,0.990099
"69",4,36,2,"Pine","WF","Spring",6,29,2.161152615,1.093135123,1.053959516,5615631.56,108.434952,8.984876633,1.075269,2.867384,84.946237,87.813621,0,0,0,10.035842,0,97.68659973,279,"Browning ",226,1.200636272,9933.333333,32.48932693,48171.08736,85.30079651,14.03624344,121,0.60961,7261271.087,280,90,5.40054,0.810081,63.276328,79.29793,2.160216,0,8.460846,2.790279
